sku,upc,name,brand,department,category,sub_category,collection,size,color_name,color_hex,material,fit_type,cost,retail_price,msrp,short_description,long_description,image_uri,alt_text
745624,198765432109,Ribbed Knit Long Sleeve Maxi Dress,Aurum,Women,Apparel,Dress,Modern Essentials,Medium,Heather Taupe,#8A7F74,Wool Blend,Slim Fit,62.5,129,158,"An elegant and modern long-sleeve maxi dress crafted from a comfortable ribbed knit fabric. Features a slim, body-contouring fit and a tasteful side slit for added movement and style.","Discover timeless elegance with our Ribbed Knit Long Sleeve Maxi Dress. Designed to flatter, this dress features a slim, figure-hugging silhouette crafted from a soft and stretchy wool-blend knit. The classic crew neckline and long sleeves provide sophisticated coverage, while a high side slit introduces a contemporary edge and ensures ease of movement. Rendered in a versatile heather taupe, this dress is a perfect foundation piece for any modern wardrobe, easily dressed up or down for any occasion.",https://storage.googleapis.com/<your-artifacts-bucket>/products/745624.png,"A women's long-sleeve, crew neck, ribbed knit maxi dress in heather taupe with a high side slit on the left leg."
584922,850024584922,Suede Ankle Strap Block Heel Pump,Maison Onyx,Women,Apparel,Footwear,Modern Classics,Medium,Black,#000000,Suede,Standard,52.75,110,135,An elegant and versatile black suede pump featuring a comfortable block heel and a secure ankle strap.,"Elevate your wardrobe with our Suede Ankle Strap Block Heel Pump. Crafted from luxurious black suede, this shoe is designed for both style and comfort. The sturdy block heel offers stability for all-day wear, while the adjustable ankle strap provides a secure and flattering fit. Its timeless design makes it a perfect choice for the office, special occasions, or a chic everyday look. The interior is lined with smooth leather for added comfort.",https://storage.googleapis.com/<your-artifacts-bucket>/products/584922.png,"A side profile of a women's black suede pump with a block heel and a thin ankle strap with a silver buckle, on a white background."
295883,840361129588,The Rigid Slouch Jean,Neon & Co.,Men,Apparel,Bottom,Core Denim 2023,Medium,Vintage Indigo,#3A506B,Denim,Straight,42.5,98,118,"A classic pair of straight-leg jeans crafted from durable, rigid denim with a vintage-inspired medium blue wash.","Meet your new favorite everyday jean. The Rigid Slouch Jean is designed with a classic straight fit that offers a comfortable, relaxed silhouette without being baggy. Made from 100% cotton rigid denim, these jeans will break in beautifully over time, molding to your shape for a personalized fit. The vintage indigo wash features authentic-looking fading and whiskering for a lived-in feel from the very first wear. Featuring a classic five-pocket design, zip fly, and button closure, these jeans are a versatile staple for any wardrobe.",https://storage.googleapis.com/<your-artifacts-bucket>/products/295883.png,"A pair of men's straight-leg jeans in a vintage indigo wash, shown flat on a white background."
90802,840350112345,Classic Straight Fit Jeans,Neon & Co.,Men,Apparel,Bottom,Core Essentials,Medium,Medium Wash Blue,#3A5A8A,Denim,Straight,35.25,75.5,88,"A timeless pair of straight-fit jeans crafted from comfortable denim, featuring a classic medium wash and five-pocket styling.","Meet your new favorite jeans. Our Classic Straight Fit Jeans are designed for both style and comfort, making them a versatile staple for any wardrobe. Made from high-quality, durable denim with a hint of stretch, they offer a perfect fit that moves with you. The medium blue wash is enhanced with subtle whiskering and fading for an authentic, lived-in look right from the start. Featuring a traditional five-pocket design, zip fly, and button closure, these jeans are the ideal foundation for any casual outfit.",https://storage.googleapis.com/<your-artifacts-bucket>/products/90802.png,"A pair of men's straight fit jeans in a medium blue wash, shown flat on a white background."
394055,840361123456,High-Waisted Distressed Straight-Leg Jeans,Neon & Co.,Women,Apparel,Bottom,Summer Street Style,Medium,Light Wash Blue,#7DA3C4,Denim,Straight Leg,35.5,74.99,88,"A pair of light wash blue straight-leg jeans with a high-waisted fit. Features heavy distressing and large, open rips at the knees for an edgy, modern look.","Make a statement with our High-Waisted Distressed Straight-Leg Jeans. Crafted from 100% cotton denim for an authentic vintage feel, these jeans come in a classic light wash blue. The design features a flattering high-rise waist, a standard five-pocket layout, and a straight-leg cut that offers a relaxed yet stylish silhouette. The defining characteristic is the bold, heavy distressing throughout, with prominent rips at the knees that add a touch of rebellious charm. Finished with a frayed, raw hem, these jeans are perfect for pairing with sneakers and a simple tee for an effortlessly cool weekend outfit.",https://storage.googleapis.com/<your-artifacts-bucket>/products/394055.png,"Women's light wash blue straight-leg jeans with significant distressing and large rips at both knees, featuring a high-rise waist and a raw hem."
234444,840348123456,Faux Leather Straight-Leg Pants,Maison Onyx,Women,Apparel,Bottom,Downtown Edit,Medium,Black,#0C0C0C,Faux Leather,Straight-Leg,38.5,79.99,98,Sleek and modern faux leather pants with a classic straight-leg cut and five-pocket styling.,"Introducing our Faux Leather Straight-Leg Pants, the perfect piece to add a touch of edge to any outfit. Crafted from a supple, high-quality faux leather, these pants feature a classic five-pocket design, a zip fly with a button closure, and seam detailing across the knees for added style. The flattering high-rise waist and straight-leg silhouette create a long, lean look. Pair them with a casual knit for daytime or a silk camisole for a night out.",https://storage.googleapis.com/<your-artifacts-bucket>/products/234444.png,"Front view of black faux leather straight-leg pants with five-pocket styling, isolated on a white background."
839185,198765432109,High-Waisted Houndstooth Trousers,Modern Muse,Women,Apparel,Bottom,Autumn Classics,Medium,Black/White Houndstooth,#000000,Wool Blend,Wide-Leg,45.5,99.99,128,Classic high-waisted trousers featuring a timeless black and white houndstooth pattern and a modern wide-leg silhouette.,"Elevate your wardrobe with these sophisticated High-Waisted Houndstooth Trousers. Expertly tailored from a quality wool-blend fabric, they offer both structure and comfort. The classic black and white houndstooth print provides a timeless appeal, while the high-waisted design and front pleats create a flattering shape. A relaxed, wide-leg cut ensures ease of movement and a chic, flowing silhouette. These trousers are a versatile addition, perfect for transitioning from a professional office setting to an elegant evening out.",https://storage.googleapis.com/<your-artifacts-bucket>/products/839185.png,Front view of women's high-waisted wide-leg trousers in a black and white houndstooth pattern.
294832,840351829457,High-Waisted Pleated Culottes,Modern Muse,Women,Apparel,Bottom,Modern Essentials,Medium,Oatmeal,#EAE3D5,Wool Blend,Wide-Leg,95.5,198,225,"Sophisticated and modern, these high-waisted culottes feature sharp pleats and a flattering wide-leg silhouette.","Elevate your wardrobe with our High-Waisted Pleated Culottes. Expertly tailored from a structured wool-blend fabric, they sit comfortably at the natural waist and flow into a graceful, wide-leg shape that ends at a cropped length. The crisp front pleats add volume and movement, creating a polished and contemporary look. These versatile trousers are perfect for transitioning from the office to an evening out, offering both comfort and impeccable style.",https://storage.googleapis.com/<your-artifacts-bucket>/products/294832.png,Front view of women's oatmeal colored high-waisted pleated wide-leg culottes with a single button closure.
293852,850024987123,Satin Jacquard Wrap Midi Dress,Maison Onyx,Women,Apparel,Dress,Evening Elegance,Medium,Navy Blue,#19213D,Satin Jacquard,Wrap,150,325,350,"Elevate your evening look with this stunning navy blue satin jacquard wrap dress, featuring long bishop sleeves and a flattering midi length.","Crafted from a luxurious satin jacquard fabric with a subtle polka dot pattern, this wrap dress exudes timeless elegance. It's designed with a classic V-neckline, voluminous long bishop sleeves with cuffed wrists, and a self-tie belt to cinch the waist for a defined silhouette. The flowing midi-length skirt creates beautiful movement, making it perfect for special occasions, cocktail parties, or formal dinners. The wrap design ensures a comfortable and adjustable fit for effortless sophistication.",https://storage.googleapis.com/<your-artifacts-bucket>/products/293852.png,Front view of a women's navy blue satin jacquard long-sleeve wrap midi dress on a white background.
632567,840348162951,Gola Retro Color-Block Runner,Modern Muse,Unisex,Apparel,Footwear,Heritage Classics,US 9,Red/Teal,#D81E34,"Suede, Nylon",Regular,42.5,89.99,95,"A vibrant, retro-inspired sneaker featuring a bold color-block design in red and teal with classic white accents.","Inspired by classic running silhouettes, this Gola sneaker brings a touch of vintage athletic style to your wardrobe. The upper features a dynamic combination of red nylon and suede panels, contrasted with a vibrant teal suede toe cap. The iconic white wingflash branding on the side, a cushioned EVA midsole, and a durable gum rubber outsole for superior grip complete this timeless and comfortable design.",https://storage.googleapis.com/<your-artifacts-bucket>/products/632567.png,"A side view of a retro-style running shoe with a red and teal upper, white stripes, white laces, and a gum sole."
